 difficulty | occurrences 
   48994678 |           1
   48994886 |           1
   48995343 |           1
   48995842 |           1
   48996008 |           1
   48996706 |           1
   48996772 |           1
   48996823 |           1
   48996927 |           3
   48996934 |           1
   48997042 |           1
   48997138 |           3
   48997233 |           3
   48997323 |           2
   48997445 |           1
   48997532 |           3
   48997615 |          15
   48997634 |           1
   48997694 |          18
   48997721 |           2
   48997769 |           3
   48997841 |           2
   48998004 |           1
   48998026 |          12
   48998082 |           2
   48998092 |          30
   48998155 |          18
   48998156 |           1
   48998215 |          13
   48998220 |           1
   48998225 |           1
   48998272 |           2
   48998327 |           1
   48998411 |           1
   48998467 |           1
   48998519 |          17
   48998569 |          29
   48998617 |          53
   48998662 |          32
   48998704 |           4
   48998722 |           1
   48998745 |           3
   48998902 |           1
   48998941 |           1
   48998978 |           4
   48999013 |          21
   48999046 |         103
   48999078 |         145
   48999108 |         108
   48999136 |          26
   48999163 |           2
   48999385 |           1
   48999451 |           2
   48999489 |          10
   48999506 |          77
   48999523 |         183
   48999539 |         235
   48999554 |         104
   48999568 |          20
   49000000 |          41
   49992122 |           1
   49992624 |           1
   49992774 |           1
   49993347 |           1
   49993410 |           1
   49994085 |           1
   49994219 |           1
   49994676 |           1
   49995149 |           1
   49995273 |           1
   49995343 |           1
   49995583 |           1
   49995664 |           1
   49996008 |           2
   49996052 |           1
   49996165 |           2
   49996185 |           1
   49996311 |           1
   49996312 |           2
   49996387 |           1
   49996451 |           1
   49996545 |           1
   49996662 |           1
   49996705 |           1
   49996772 |           1
   49996977 |           1
   49997039 |           1
   49997042 |           1
   49997138 |           9
   49997152 |           1
   49997233 |           2
   49997532 |           4
   49997615 |           7
   49997694 |          10
   49997769 |           3
   49997841 |           1
   49997956 |           4
   49998026 |           7
   49998092 |          24
   49998103 |           1
   49998155 |          26
   49998156 |           2
   49998215 |          16
   49998272 |           1
   49998519 |          18
   49998569 |          39
   49998617 |          72
   49998662 |          35
   49998704 |           3
   49998861 |           1
   49998902 |           1
   49998978 |           7
   49999013 |          30
   49999046 |         103
   49999078 |         176
   49999108 |          95
   49999136 |          22
   49999361 |           1
   49999408 |           1
   49999470 |           1
   49999489 |           8
   49999506 |          58
   49999523 |         254
   49999539 |         319
   49999554 |         152
   49999568 |          28
   49999582 |           3
   50000000 |         115
   50994012 |           1
   50994468 |           1
   50994577 |           1
   50995077 |           1
   50995343 |           1
   50995697 |           1
   50996008 |           1
   50996061 |           1
   50996185 |           1
   50996387 |           1
   50996582 |           1
   50996662 |           1
   50996706 |           1
   50996804 |           2
   50996927 |           2
   50997039 |           3
   50997138 |           4
   50997152 |           1
   50997255 |           1
   50997323 |           1
   50997339 |           1
   50997445 |           1
   50997532 |           7
   50997615 |          11
   50997694 |           9
   50997769 |           2
   50997841 |           2
   50997956 |           1
   50998026 |           6
   50998092 |          27
   50998155 |          17
   50998215 |          16
   50998272 |           3
   50998467 |           3
   50998519 |          12
   50998569 |          48
   50998617 |          51
   50998662 |          41
   50998704 |           5
   50998941 |           1
   50998978 |           3
   50999013 |          33
   50999046 |          91
   50999078 |         132
   50999108 |          86
   50999136 |          27
   50999163 |           1
   50999361 |           1
   50999430 |           1
   50999489 |          14
   50999506 |          59
   50999523 |         229
   50999539 |         354
   50999554 |         232
   50999568 |          57
   50999582 |           3
   51000000 |         336
   51992774 |           1
   51994012 |           1
   51994219 |           1
   51994456 |           2
   51994678 |           1
   51995018 |           1
   51995083 |           2
   51995343 |           1
   51995664 |           1
   51996008 |           1
   51996545 |           1
   51996582 |           1
   51996674 |           2
   51996706 |           1
   51996772 |           3
   51996877 |           1
   51996927 |           1
   51997039 |           2
   51997066 |           1
   51997138 |           6
   51997233 |           2
   51997323 |           2
   51997352 |           1
   51997443 |           2
   51997445 |           2
   51997532 |           5
   51997541 |           1
   51997615 |           8
   51997694 |          16
   51997769 |           1
   51997804 |           1
   51998026 |           4
   51998092 |          18
   51998155 |          34
   51998215 |           9
   51998272 |           2
   51998467 |           1
   51998519 |          14
   51998555 |           1
   51998569 |          39
   51998617 |          52
   51998662 |          30
   51998704 |           5
   51998902 |           1
   51998978 |           7
   51999013 |          21
   51999046 |          71
   51999078 |         135
   51999108 |          78
   51999136 |          17
   51999163 |           1
   51999430 |           1
   51999470 |           3
   51999489 |           5
   51999506 |          58
   51999523 |         201
   51999539 |         338
   51999554 |         223
   51999568 |          62
   51999582 |           2
   52000000 |         565
   52992624 |           1
   52992774 |           1
   52994247 |           1
   52994468 |           1
   52994676 |           1
   52994886 |           1
   52995083 |           1
   52995268 |           1
   52995343 |           2
   52995475 |           1
   52995842 |           1
   52995859 |           1
   52996008 |           1
   52996165 |           3
   52996312 |           1
   52996387 |           1
   52996423 |           1
   52997039 |           1
   52997042 |           1
   52997138 |           2
   52997233 |           4
   52997339 |           1
   52997532 |           4
   52997615 |           6
   52997694 |           9
   52997721 |           1
   52997769 |           3
   52997841 |           1
   52997882 |           1
   52997956 |           2
   52998026 |           6
   52998082 |           1
   52998092 |          15
   52998155 |          17
   52998215 |          12
   52998272 |           2
   52998353 |           1
   52998411 |           2
   52998519 |          15
   52998569 |          38
   52998614 |           1
   52998617 |          49
   52998662 |          36
   52998704 |           6
   52998745 |           1
   52998817 |           1
   52998978 |           2
   52999013 |          23
   52999046 |          69
   52999078 |         116
   52999108 |          68
   52999136 |          12
   52999163 |           1
   52999470 |           1
   52999489 |           6
   52999506 |          59
   52999523 |         187
   52999539 |         305
   52999554 |         219
   52999568 |          72
   52999582 |          10
   53000000 |         806
   53994012 |           1
   53994676 |           1
   53994678 |           1
   53994886 |           1
   53994942 |           1
   53995083 |           1
   53995149 |           1
   53995343 |           1
   53995697 |           1
   53996061 |           1
   53996165 |           1
   53996451 |           2
   53996545 |           2
   53996662 |           1
   53996706 |           1
   53996772 |           1
   53996804 |           1
   53996934 |           1
   53997039 |           1
   53997042 |           1
   53997138 |           4
   53997152 |           1
   53997233 |           3
   53997255 |           1
   53997323 |           2
   53997443 |           2
   53997445 |           2
   53997532 |           4
   53997615 |          10
   53997694 |          14
   53997769 |           5
   53997841 |           2
   53997921 |           1
   53997956 |           1
   53998026 |           8
   53998092 |          16
   53998155 |          18
   53998215 |          11
   53998272 |           1
   53998335 |           1
   53998411 |           2
   53998467 |           2
   53998519 |          13
   53998569 |          32
   53998617 |          35
   53998662 |          28
   53998704 |           3
   53998771 |           1
   53998978 |           3
   53999013 |          27
   53999046 |          73
   53999078 |         115
   53999108 |          66
   53999136 |          13
   53999408 |           1
   53999489 |           4
   53999506 |          55
   53999523 |         169
   53999539 |         253
   53999554 |         206
   53999568 |          52
   53999582 |           1
   54000000 |         930
   54994085 |           1
   54994456 |           1
   54994468 |           1
   54994678 |           2
   54994826 |           1
   54994886 |           1
   54994942 |           1
   54995268 |           1
   54995475 |           1
   54995608 |           1
   54995842 |           2
   54996061 |           1
   54996165 |           3
   54996311 |           1
   54996312 |           1
   54996662 |           1
   54996674 |           1
   54996772 |           1
   54996823 |           1
   54996927 |           1
   54997039 |           1
   54997042 |           2
   54997138 |           2
   54997152 |           1
   54997233 |           2
   54997255 |           1
   54997323 |           1
   54997352 |           1
   54997445 |           1
   54997532 |           5
   54997615 |           7
   54997634 |           2
   54997694 |          12
   54997769 |           8
   54997792 |           1
   54997841 |           2
   54997956 |           3
   54998026 |           3
   54998092 |          19
   54998155 |          24
   54998215 |          14
   54998272 |           4
   54998353 |           1
   54998411 |           1
   54998439 |           1
   54998467 |           3
   54998519 |           7
   54998569 |          32
   54998617 |          39
   54998619 |           1
   54998662 |          23
   54998704 |           2
   54998817 |           2
   54999013 |          18
   54999046 |          71
   54999078 |          97
   54999108 |          62
   54999136 |           8
   54999163 |           1
   54999451 |           1
   54999489 |          10
   54999506 |          52
   54999523 |         129
   54999539 |         238
   54999554 |         153
   54999568 |          43
   54999582 |           2
   55000000 |         975
   55993763 |           1
   55994886 |           1
   55995149 |           2
   55995526 |           1
   55996008 |           1
   55996012 |           1
   55996312 |           1
   55996451 |           1
   55996582 |           1
   55996662 |           3
   55996706 |           2
   55996772 |           2
   55996849 |           1
   55997039 |           1
   55997138 |           2
   55997233 |           2
   55997323 |           2
   55997445 |           1
   55997529 |           1
   55997532 |           3
   55997615 |          11
   55997694 |           7
   55997721 |           1
   55997769 |           1
   55997956 |           3
   55998026 |           7
   55998092 |          17
   55998155 |          23
   55998215 |           9
   55998467 |           1
   55998519 |          14
   55998569 |          22
   55998617 |          42
   55998662 |          16
   55998704 |           3
   55998771 |           1
   55998978 |           6
   55999013 |          17
   55999046 |          57
   55999078 |          75
   55999108 |          55
   55999136 |          17
   55999361 |           1
   55999385 |           1
   55999430 |           1
   55999489 |           4
   55999506 |          38
   55999523 |         137
   55999539 |         210
   55999554 |         134
   55999568 |          38
   55999582 |           4
   56000000 |         805
   56993026 |           1
   56994485 |           1
   56994678 |           1
   56995018 |           1
   56995343 |           1
   56995443 |           1
   56995475 |           1
   56995526 |           1
   56996008 |           1
   56996545 |           1
   56996674 |           2
   56996705 |           1
   56997039 |           3
   56997110 |           1
   56997138 |           1
   56997233 |           1
   56997323 |           2
   56997443 |           2
   56997532 |           3
   56997615 |           9
   56997634 |           3
   56997694 |          15
   56997769 |           2
   56997841 |           1
   56998026 |           7
   56998092 |          25
   56998155 |          27
   56998215 |           8
   56998225 |           1
   56998272 |           2
   56998291 |           1
   56998353 |           1
   56998467 |           2
   56998519 |           8
   56998555 |           1
   56998569 |          42
   56998617 |          44
   56998662 |          28
   56998704 |           4
   56998745 |           2
   56998902 |           1
   56998978 |           2
   56999013 |          13
   56999046 |          51
   56999078 |          82
   56999108 |          48
   56999136 |           5
   56999163 |           2
   56999335 |           1
   56999385 |           1
   56999408 |           1
   56999470 |           1
   56999489 |           4
   56999506 |          43
   56999523 |         130
   56999539 |         200
   56999554 |         126
   56999568 |          44
   56999582 |           2
   57000000 |         761
   57992624 |           1
   57994678 |           1
   57994886 |           1
   57995083 |           1
   57995343 |           1
   57995526 |           1
   57995842 |           1
   57996165 |           1
   57996312 |           2
   57996387 |           3
   57996451 |           2
   57996545 |           1
   57996662 |           2
   57996772 |           3
   57997039 |           1
   57997042 |           1
   57997138 |           1
   57997233 |           4
   57997323 |           1
   57997352 |           1
   57997443 |           1
   57997445 |           1
   57997532 |           2
   57997615 |          11
   57997694 |           6
   57997769 |           5
   57997956 |           3
   57998004 |           1
   57998026 |          10
   57998092 |          20
   57998155 |          26
   57998215 |           7
   57998225 |           1
   57998272 |           3
   57998411 |           1
   57998467 |           1
   57998519 |           8
   57998569 |          32
   57998617 |          39
   57998662 |          11
   57998704 |           5
   57998771 |           1
   57998941 |           1
   57998978 |           4
   57999013 |          14
   57999046 |          64
   57999078 |          94
   57999108 |          44
   57999136 |           8
   57999163 |           1
   57999335 |           1
   57999470 |           1
   57999489 |           4
   57999506 |          18
   57999523 |         104
   57999539 |         181
   57999554 |          99
   57999568 |          32
   57999582 |           4
   58000000 |         675
   58993967 |           1
   58994012 |           1
   58995526 |           1
   58995850 |           1
   58995859 |           2
   58996008 |           1
   58996451 |           1
   58996582 |           1
   58996662 |           2
   58996804 |           1
   58996927 |           2
   58996934 |           1
   58997039 |           2
   58997138 |           3
   58997233 |           1
   58997323 |           1
   58997413 |           1
   58997532 |           7
   58997541 |           1
   58997615 |           7
   58997694 |           8
   58997721 |           1
   58997769 |           5
   58997882 |           1
   58997956 |           2
   58998026 |          17
   58998092 |          21
   58998155 |          19
   58998215 |           5
   58998225 |           1
   58998467 |           3
   58998519 |           8
   58998569 |          29
   58998617 |          31
   58998662 |          22
   58998704 |           3
   58998817 |           1
   58998861 |           1
   58998978 |           2
   58999013 |          27
   58999046 |          56
   58999078 |          71
   58999108 |          38
   58999136 |          16
   58999361 |           1
   58999408 |           1
   58999506 |          20
   58999523 |          94
   58999539 |         150
   58999554 |         102
   58999568 |          26
   58999582 |           1
   59000000 |         543
   59993239 |           1
   59993347 |           1
   59993967 |           1
   59994219 |           1
   59994310 |           1
   59994468 |           1
   59994721 |           1
   59995343 |           1
   59995526 |           1
   59995608 |           1
   59995697 |           2
   59995859 |           1
   59996157 |           1
   59996312 |           1
   59996451 |           1
   59996535 |           1
   59996662 |           1
   59996772 |           1
   59996804 |           1
   59997138 |           4
   59997228 |           1
   59997233 |           4
   59997323 |           2
   59997339 |           1
   59997445 |           1
   59997532 |           2
   59997615 |          12
   59997694 |           7
   59997721 |           1
   59997769 |           5
   59997832 |           1
   59997841 |           1
   59997956 |           2
   59998026 |           9
   59998082 |           1
   59998092 |          17
   59998155 |          19
   59998215 |           7
   59998353 |           1
   59998411 |           1
   59998519 |           5
   59998569 |          36
   59998617 |          33
   59998619 |           1
   59998662 |          19
   59998669 |           1
   59998704 |           2
   59998771 |           1
   59998941 |           1
   59998978 |           2
   59999013 |          22
   59999046 |          38
   59999078 |          65
   59999108 |          40
   59999136 |           5
   59999489 |           6
   59999506 |          24
   59999523 |          96
   59999539 |         140
   59999554 |          92
   59999568 |          25
   59999582 |           3
   60000000 |         456
   60994721 |           1
   60994942 |           1
   60995526 |           1
   60995697 |           1
   60995842 |           1
   60996008 |           1
   60996312 |           1
   60996545 |           1
   60996662 |           1
   60996706 |           1
   60996804 |           1
   60997039 |           1
   60997138 |           7
   60997152 |           1
   60997228 |           1
   60997233 |           1
   60997255 |           1
   60997323 |           1
   60997443 |           1
   60997532 |           3
   60997541 |           1
   60997615 |          11
   60997634 |           3
   60997637 |           1
   60997694 |          14
   60997769 |           1
   60997921 |           1
   60997956 |           1
   60998004 |           1
   60998026 |           8
   60998092 |          13
   60998155 |          19
   60998215 |           9
   60998272 |           1
   60998467 |           1
   60998519 |          11
   60998569 |          39
   60998617 |          36
   60998662 |          23
   60998704 |           1
   60998978 |           1
   60999013 |          14
   60999046 |          49
   60999078 |          52
   60999108 |          31
   60999136 |           8
   60999430 |           1
   60999470 |           1
   60999489 |           3
   60999506 |          25
   60999523 |          83
   60999539 |         136
   60999554 |          83
   60999568 |          17
   60999582 |           4
   61000000 |         400
   61994886 |           2
   61994942 |           1
   61995526 |           1
   61995583 |           1
   61995664 |           3
   61996008 |           1
   61996451 |           1
   61996535 |           1
   61996545 |           1
   61996662 |           1
   61996674 |           1
   61996772 |           1
   61996934 |           1
   61997039 |           1
   61997042 |           1
   61997138 |           3
   61997233 |           4
   61997352 |           1
   61997443 |           1
   61997532 |           1
   61997615 |           3
   61997634 |           3
   61997694 |          10
   61997721 |           1
   61997769 |           6
   61998004 |           2
   61998026 |           9
   61998092 |          16
   61998155 |          26
   61998156 |           1
   61998215 |           7
   61998225 |           1
   61998272 |           3
   61998291 |           1
   61998467 |           2
   61998519 |          10
   61998569 |          33
   61998617 |          32
   61998662 |          24
   61998704 |           1
   61998902 |           1
   61998941 |           1
   61998978 |           4
   61999013 |          11
   61999046 |          36
   61999078 |          46
   61999108 |          32
   61999136 |           6
   61999489 |           3
   61999506 |          26
   61999523 |          70
   61999539 |         119
   61999554 |          69
   61999568 |          18
   61999582 |           1
   62000000 |         382
   62995526 |           1
   62996165 |           1
   62996311 |           1
   62996387 |           1
   62996423 |           1
   62996674 |           1
   62996804 |           1
   62997039 |           1
   62997138 |           3
   62997233 |           2
   62997255 |           1
   62997323 |           2
   62997409 |           1
   62997445 |           1
   62997532 |           1
   62997615 |           5
   62997634 |           3
   62997694 |          10
   62997769 |           5
   62998026 |           9
   62998092 |          22
   62998155 |          26
   62998215 |           9
   62998272 |           2
   62998467 |           2
   62998519 |           7
   62998569 |          21
   62998617 |          40
   62998662 |          20
   62998697 |           1
   62998704 |           5
   62998978 |           1
   62999013 |          10
   62999046 |          30
   62999078 |          51
   62999108 |          31
   62999136 |           5
   62999408 |           1
   62999430 |           1
   62999489 |           3
   62999506 |          20
   62999523 |          71
   62999539 |         116
   62999554 |          64
   62999568 |          17
   62999582 |           2
   63000000 |         285
   63993497 |           1
   63994219 |           1
   63994247 |           1
   63994721 |           1
   63994942 |           1
   63995842 |           1
   63995859 |           1
   63996008 |           1
   63996311 |           1
   63996535 |           1
   63996582 |           1
   63996662 |           2
   63996804 |           3
   63996927 |           1
   63997039 |           1
   63997138 |           4
   63997152 |           1
   63997233 |           4
   63997339 |           1
   63997532 |           2
   63997615 |          12
   63997694 |           7
   63997769 |           2
   63997882 |           1
   63997921 |           2
   63997956 |           3
   63998026 |           4
   63998092 |          21
   63998155 |          19
   63998215 |           6
   63998272 |           1
   63998353 |           2
   63998519 |          14
   63998569 |          27
   63998617 |          27
   63998662 |          15
   63998704 |           4
   63998745 |           1
   63998952 |           1
   63998978 |           2
   63999013 |          16
   63999046 |          36
   63999078 |          54
   63999108 |          22
   63999136 |           3
   63999489 |           6
   63999506 |          27
   63999523 |          65
   63999539 |          79
   63999554 |          53
   63999568 |          19
   64000000 |         265
   64994676 |           1
   64994721 |           1
   64994942 |           1
   64995697 |           1
   64996008 |           1
   64996165 |           2
   64996582 |           1
   64996662 |           1
   64996772 |           1
   64996804 |           2
   64997039 |           1
   64997042 |           1
   64997138 |           6
   64997233 |           6
   64997323 |           1
   64997339 |           1
   64997409 |           1
   64997443 |           3
   64997445 |           1
   64997532 |           4
   64997615 |           7
   64997694 |           8
   64997721 |           1
   64997769 |           5
   64997841 |           1
   64997882 |           1
   64998026 |           3
   64998092 |          17
   64998155 |          24
   64998215 |           6
   64998225 |           1
   64998272 |           1
   64998467 |           3
   64998519 |          10
   64998569 |          26
   64998617 |          36
   64998662 |          13
   64998704 |           5
   64998978 |           4
   64999013 |          15
   64999046 |          46
   64999078 |          46
   64999108 |          28
   64999136 |           8
   64999489 |           5
   64999506 |          16
   64999523 |          57
   64999539 |          75
   64999554 |          51
   64999568 |          15
   64999582 |           3
   65000000 |         240
   65993608 |           1
   65995697 |           1
   65996008 |           1
   65996165 |           2
   65996311 |           1
   65996451 |           1
   65996662 |           1
   65996674 |           1
   65996705 |           1
   65996706 |           1
   65996804 |           1
   65997039 |           2
   65997110 |           1
   65997152 |           2
   65997233 |           2
   65997255 |           1
   65997352 |           1
   65997443 |           2
   65997445 |           1
   65997532 |           3
   65997615 |           4
   65997694 |           6
   65997769 |           2
   65997956 |           1
   65998004 |           1
   65998026 |          12
   65998092 |          17
   65998155 |          19
   65998156 |           1
   65998215 |           4
   65998291 |           3
   65998467 |           3
   65998519 |          17
   65998569 |          31
   65998617 |          44
   65998662 |          16
   65998722 |           1
   65998817 |           2
   65998941 |           2
   65999013 |           7
   65999046 |          26
   65999078 |          43
   65999108 |          23
   65999136 |           3
   65999489 |           1
   65999506 |          20
   65999523 |          48
   65999539 |          94
   65999554 |          39
   65999568 |          12
   66000000 |         205
   66995268 |           1
   66995526 |           1
   66995881 |           1
   66996312 |           1
   66996451 |           1
   66996674 |           1
   66997042 |           2
   66997138 |           1
   66997233 |           5
   66997255 |           1
   66997323 |           2
   66997532 |           6
   66997615 |           9
   66997634 |           1
   66997694 |           6
   66997769 |           5
   66997804 |           1
   66998026 |           6
   66998082 |           2
   66998092 |          18
   66998155 |          24
   66998215 |           8
   66998272 |           3
   66998291 |           1
   66998467 |           6
   66998492 |           1
   66998519 |           7
   66998569 |          28
   66998617 |          33
   66998662 |          16
   66998704 |           2
   66998817 |           1
   66998902 |           1
   66998952 |           1
   66998978 |           2
   66999013 |           7
   66999046 |          28
   66999078 |          43
   66999108 |          25
   66999136 |           6
   66999361 |           1
   66999489 |           2
   66999506 |           8
   66999523 |          41
   66999539 |          76
   66999554 |          38
   66999568 |           9
   67000000 |         161
   67994219 |           1
   67994886 |           1
   67994942 |           1
   67995664 |           1
   67995697 |           1
   67995842 |           1
   67996008 |           1
   67996052 |           1
   67996165 |           2
   67996451 |           1
   67996772 |           1
   67996804 |           2
   67996934 |           1
   67997039 |           1
   67997138 |           2
   67997152 |           1
   67997233 |           2
   67997323 |           2
   67997339 |           1
   67997443 |           2
   67997532 |           4
   67997541 |           1
   67997615 |           8
   67997694 |           7
   67997769 |           4
   67997832 |           1
   67998026 |           4
   67998082 |           1
   67998092 |          11
   67998155 |          13
   67998156 |           2
   67998215 |           4
   67998272 |           1
   67998467 |           2
   67998519 |          18
   67998555 |           1
   67998569 |          16
   67998617 |          37
   67998662 |          12
   67998704 |           2
   67998722 |           1
   67998978 |           4
   67999013 |           9
   67999046 |          38
   67999078 |          41
   67999108 |          25
   67999136 |           3
   67999361 |           1
   67999489 |           3
   67999506 |           9
   67999523 |          46
   67999539 |          59
   67999554 |          20
   67999568 |           7
   67999582 |           1
   68000000 |         186
   68994468 |           1
   68994886 |           1
   68996165 |           2
   68996185 |           1
   68996312 |           1
   68996451 |           1
   68996706 |           1
   68996772 |           1
   68996804 |           1
   68996934 |           1
   68997039 |           1
   68997138 |           2
   68997228 |           1
   68997233 |           1
   68997323 |           1
   68997443 |           1
   68997532 |           4
   68997615 |           3
   68997634 |           2
   68997694 |           6
   68997956 |           4
   68998026 |           5
   68998082 |           1
   68998092 |          10
   68998155 |          16
   68998156 |           1
   68998215 |           9
   68998272 |           2
   68998353 |           2
   68998411 |           1
   68998467 |           2
   68998519 |          14
   68998569 |          20
   68998614 |           1
   68998617 |          28
   68998662 |          24
   68998669 |           1
   68998704 |           4
   68998771 |           1
   68998861 |           1
   68998978 |           4
   68999013 |           8
   68999046 |          30
   68999078 |          56
   68999108 |          24
   68999136 |           4
   68999489 |           1
   68999506 |          16
   68999523 |          39
   68999539 |          66
   68999554 |          34
   68999568 |           4
   69000000 |         129
   69993497 |           1
   69994942 |           1
   69995697 |           1
   69995842 |           1
   69996165 |           2
   69996312 |           1
   69996823 |           1
   69996927 |           1
   69996984 |           1
   69997039 |           1
   69997042 |           2
   69997138 |           1
   69997255 |           1
   69997323 |           2
   69997443 |           1
   69997532 |           3
   69997615 |           7
   69997634 |           2
   69997694 |           3
   69997804 |           3
   69997832 |           1
   69997841 |           1
   69997908 |           1
   69997956 |           3
   69998026 |           4
   69998092 |           8
   69998155 |          21
   69998215 |          10
   69998272 |           1
   69998411 |           1
   69998467 |           2
   69998519 |          11
   69998569 |          18
   69998617 |          39
   69998662 |          12
   69998771 |           3
   69998817 |           1
   69999013 |           6
   69999046 |          24
   69999078 |          35
   69999108 |          20
   69999136 |           2
   69999246 |           1
   69999335 |           1
   69999489 |           3
   69999506 |           9
   69999523 |          29
   69999539 |          49
   69999554 |          33
   69999568 |           6
   70000000 |         135
   70994886 |           1
   70995859 |           1
   70996012 |           1
   70996674 |           1
   70996804 |           1
   70996927 |           1
   70996934 |           1
   70997138 |           2
   70997233 |           2
   70997255 |           1
   70997339 |           1
   70997532 |           2
   70997541 |           1
   70997615 |          11
   70997694 |          13
   70997721 |           3
   70997769 |           3
   70997956 |           1
   70998026 |           9
   70998082 |           1
   70998092 |          20
   70998155 |          14
   70998156 |           1
   70998215 |           6
   70998225 |           2
   70998272 |           1
   70998519 |           5
   70998569 |          23
   70998617 |          21
   70998662 |           8
   70998704 |           2
   70998978 |           3
   70999013 |           5
   70999046 |          33
   70999078 |          28
   70999108 |          19
   70999136 |           2
   70999361 |           2
   70999489 |           1
   70999506 |           9
   70999523 |          36
   70999539 |          55
   70999554 |          26
   70999568 |           6
   71000000 |         125
   71995697 |           1
   71996061 |           1
   71996229 |           1
   71996927 |           1
   71996934 |           1
   71997039 |           1
   71997233 |           1
   71997255 |           1
   71997445 |           2
   71997532 |           5
   71997541 |           2
   71997615 |           2
   71997634 |           3
   71997694 |           7
   71997769 |           3
   71997832 |           1
   71998004 |           1
   71998026 |           6
   71998092 |          15
   71998155 |          20
   71998215 |           7
   71998272 |           1
   71998291 |           1
   71998353 |           1
   71998467 |           1
   71998519 |           9
   71998569 |          31
   71998617 |          32
   71998662 |          10
   71998704 |           2
   71998771 |           2
   71998978 |           3
   71999013 |          14
   71999046 |          25
   71999078 |          34
   71999108 |          20
   71999136 |           2
   71999163 |           2
   71999430 |           1
   71999470 |           1
   71999489 |           5
   71999506 |           7
   71999523 |          36
   71999539 |          46
   71999554 |          30
   71999568 |           3
   72000000 |          91
   72994510 |           1
   72996582 |           1
   72996772 |           1
   72997042 |           1
   72997233 |           1
   72997339 |           1
   72997532 |           3
   72997615 |           8
   72997694 |           5
   72997769 |           2
   72997804 |           1
   72997956 |           5
   72998026 |           6
   72998092 |          12
   72998155 |          12
   72998156 |           1
   72998215 |           7
   72998272 |           1
   72998291 |           1
   72998353 |           1
   72998467 |           3
   72998519 |           7
   72998569 |          10
   72998617 |          33
   72998662 |           9
   72998704 |           2
   72998745 |           1
   72998771 |           1
   72998902 |           2
   72998978 |           2
   72999013 |          11
   72999046 |          19
   72999078 |          24
   72999108 |          19
   72999136 |           3
   72999361 |           1
   72999489 |           2
   72999506 |          11
   72999523 |          30
   72999539 |          48
   72999554 |          31
   72999568 |           4
   73000000 |          94
   73995083 |           1
   73995697 |           1
   73996008 |           1
   73996012 |           1
   73996157 |           1
   73996451 |           1
   73996662 |           1
   73996772 |           1
   73996856 |           1
   73997138 |           1
   73997233 |           1
   73997445 |           1
   73997532 |           1
   73997541 |           1
   73997615 |           3
   73997637 |           1
   73997694 |           7
   73997769 |           4
   73997804 |           1
   73998026 |           2
   73998092 |          15
   73998155 |           9
   73998156 |           2
   73998215 |           3
   73998291 |           3
   73998519 |           7
   73998569 |          28
   73998617 |          25
   73998662 |          11
   73998704 |           1
   73998771 |           1
   73998978 |           4
   73999013 |          13
   73999046 |          19
   73999078 |          31
   73999108 |          11
   73999136 |           2
   73999361 |           2
   73999489 |           1
   73999506 |          16
   73999523 |          35
   73999539 |          30
   73999554 |          38
   73999568 |           4
   74000000 |          69
   74994886 |           1
   74995697 |           1
   74996157 |           1
   74996662 |           1
   74996772 |           1
   74997138 |           1
   74997339 |           1
   74997445 |           2
   74997532 |           2
   74997615 |           7
   74997634 |           2
   74997694 |           5
   74997721 |           1
   74997769 |           1
   74997956 |           1
   74998026 |           5
   74998092 |          14
   74998155 |          15
   74998215 |           2
   74998225 |           1
   74998411 |           1
   74998467 |           2
   74998519 |          10
   74998569 |          17
   74998617 |          32
   74998662 |           8
   74998704 |           1
   74998722 |           1
   74998817 |           2
   74998861 |           2
   74998978 |           2
   74999013 |          17
   74999046 |          36
   74999078 |          30
   74999108 |          15
   74999136 |           2
   74999408 |           1
   74999470 |           2
   74999489 |           3
   74999506 |           8
   74999523 |          31
   74999539 |          40
   74999554 |          20
   74999568 |           4
   74999582 |           1
   75000000 |          89
   75995083 |           1
   75996662 |           2
   75997039 |           1
   75997042 |           1
   75997138 |           1
   75997152 |           1
   75997445 |           1
   75997532 |           1
   75997615 |           2
   75997694 |           4
   75997804 |           1
   75997841 |           2
   75998004 |           1
   75998026 |           4
   75998092 |          18
   75998155 |           3
   75998215 |           3
   75998225 |           1
   75998272 |           2
   75998353 |           1
   75998467 |           2
   75998519 |           7
   75998569 |          24
   75998614 |           1
   75998617 |          19
   75998662 |          12
   75998902 |           1
   75999013 |           5
   75999046 |          22
   75999078 |          34
   75999108 |          12
   75999136 |           3
   75999489 |           1
   75999506 |          13
   75999523 |          24
   75999539 |          35
   75999554 |          15
   75999568 |           2
   75999582 |           1
   76000000 |          74
   76994219 |           1
   76994468 |           1
   76995343 |           1
   76995526 |           1
   76996662 |           1
   76996804 |           2
   76996927 |           1
   76997039 |           1
   76997138 |           1
   76997409 |           1
   76997443 |           1
   76997541 |           1
   76997615 |           3
   76997634 |           1
   76997694 |           6
   76997769 |           3
   76997841 |           2
   76997882 |           1
   76997956 |           3
   76998026 |           2
   76998092 |          14
   76998155 |          12
   76998215 |           6
   76998272 |           3
   76998467 |           1
   76998519 |           3
   76998569 |          23
   76998617 |          22
   76998662 |          12
   76998704 |           2
   76998722 |           1
   76998771 |           2
   76998861 |           1
   76998896 |           1
   76998978 |           2
   76999013 |          14
   76999046 |          20
   76999078 |          34
