 difficulty | occurrences 
     -10116 |         139
     -10056 |           1
      -9979 |          55
      -9963 |          32
      -9942 |          32
      -9937 |          14
      -9886 |         112
      -9846 |           3
      -9834 |           4
      -9804 |         141
      -9703 |          96
      -9667 |           2
      -9588 |          33
      -9486 |          47
      -9484 |          45
      -9464 |           3
      -9453 |         120
      -9433 |          17
      -9394 |         152
      -9319 |           2
      -9314 |          76
      -9220 |          13
      -9062 |          74
      -9049 |         144
      -9038 |          25
      -9010 |         122
      -8967 |          27
      -8949 |          47
      -8873 |           2
      -8833 |           5
      -8671 |         173
      -8666 |         105
      -8649 |          99
      -8624 |          38
      -8616 |           2
      -8605 |          27
      -8545 |           1
      -8535 |          35
      -8385 |           5
      -8317 |         158
      -8310 |          65
      -8295 |         147
      -8281 |          10
      -8238 |          52
      -8154 |           2
      -8134 |          11
      -7990 |          34
      -7984 |         121
      -7971 |          14
      -7949 |         178
      -7878 |          84
      -7762 |          24
      -7690 |          21
      -7670 |          86
      -7623 |         144
      -7587 |          17
      -7541 |          95
      -7414 |          33
      -7406 |           3
      -7376 |          37
      -7337 |           4
      -7318 |         132
      -7231 |           7
      -7226 |         133
      -7137 |           2
      -7098 |          20
      -7090 |          63
      -7031 |         109
      -6989 |           2
      -6974 |           7
      -6930 |         140
      -6899 |          12
      -6836 |           8
      -6787 |          83
      -6761 |          59
      -6653 |         137
      -6639 |           5
      -6625 |           2
      -6590 |          25
      -6588 |           3
      -6507 |          34
      -6503 |          93
      -6392 |         118
      -6327 |           3
      -6302 |          34
      -6289 |           1
      -6266 |           8
      -6237 |         126
      -6146 |          87
      -6039 |           2
      -6037 |           1
      -6033 |          45
      -5988 |         118
      -5978 |           2
      -5915 |          43
      -5781 |          78
      -5767 |          12
      -5753 |         132
      -5697 |          34
      -5690 |           7
      -5544 |         101
      -5532 |         105
      -5515 |          29
      -5490 |           9
      -5423 |           1
      -5324 |          58
      -5322 |         105
      -5295 |           2
      -5279 |          32
      -5174 |           4
      -5127 |          43
      -5114 |         106
      -5073 |           1
      -5058 |          62
      -4982 |           1
      -4943 |           5
      -4941 |          13
      -4935 |           1
      -4917 |          82
      -4851 |          71
      -4766 |           7
      -4742 |           3
      -4732 |          75
      -4727 |          16
      -4657 |          90
      -4611 |           1
      -4599 |           1
      -4557 |          41
      -4525 |          16
      -4519 |           1
      -4474 |         107
      -4442 |           3
      -4392 |          28
      -4336 |          29
      -4303 |          90
      -4292 |           4
      -4236 |           6
      -4158 |          38
      -4150 |           4
      -4141 |          65
      -4119 |           5
      -4088 |           7
      -3992 |          65
      -3988 |          44
      -3948 |          13
      -3939 |           3
      -3843 |          20
      -3835 |          77
      -3815 |          18
      -3793 |           1
      -3771 |           6
      -3707 |          16
      -3689 |          10
      -3688 |          63
      -3613 |          13
      -3577 |           4
      -3569 |           1
      -3549 |          68
      -3465 |          24
      -3455 |          36
      -3418 |          45
      -3338 |          57
      -3326 |          31
      -3294 |          33
      -3228 |          40
      -3196 |          42
      -3177 |           9
      -3123 |          13
      -3073 |          35
      -3066 |          14
      -2961 |          67
      -2958 |          36
      -2890 |           4
      -2862 |         163
      -2848 |          37
      -2772 |           4
      -2767 |         166
      -2745 |          24
      -2677 |          39
      -2661 |           8
      -2648 |          15
      -2591 |           4
      -2557 |          15
      -2555 |          45
      -2468 |         157
      -2459 |          24
      -2385 |         387
      -2366 |          28
      -2306 |         411
      -2279 |          23
      -2231 |         115
      -2196 |          10
      -2168 |           1
      -2159 |          10
      -2118 |           5
      -2092 |           1
      -2044 |          33
      -1996 |           3
      -1974 |         209
      -1918 |           7
      -1908 |         585
      -1845 |         633
      -1844 |           2
      -1785 |         250
      -1775 |           3
      -1728 |          35
      -1709 |           1
      -1673 |           2
      -1647 |           5
      -1589 |           1
      -1533 |          27
      -1481 |         169
      -1431 |         448
      -1383 |         518
      -1338 |         262
      -1296 |          48
      -1255 |           1
      -1022 |           3
       -987 |          28
       -954 |          75
       -922 |         106
       -892 |          56
